"Código","Categoria","Origem","Espécie","Rúbrica","Alínea","Detalhamento","Receita Prevista (Bruta)","Receita Arrecadada (Bruta)"
"1.1.1.8.01.2.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","IPVA ","0","-11744183.99"
"1.1.1.8.01.2.1.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","IPVA ","0","-58720475.05"
"1.1.1.8.01.3.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","ITCD","0","-1057126.64"
"1.1.1.8.02.1.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","0","-274530423.35"
"1.1.1.8.02.1.1.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","0","-457550705.6"
"1.1.2.8.01.9.1.14","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas - Específicas de Estados, DF e Municípios","Taxas de Inspeção, Controle e Fiscalização","Taxa de Registro de Veículo e Habilitação","0","-12.75"
"1.7.1.8.01.1.1.01","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Participação na Receita da União","Cota-Parte do FPE","0","-291449150.91"
"1.7.1.8.01.6.1.01","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Participação na Receita da União","Cota-Parte do IPI","0","-241144.29"
"1.7.1.8.01.6.1.02","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Participação na Receita da União","Cota-Parte do IPI ","0","-401907.05"
"1.7.1.8.02.3.1.02","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Transferência da Compensação Financeira pela Exploração de Recursos Naturais","Cota-parte Royalties - Comp. Fin. pela Produção de Petróleo - Lei 7.990/99 ","0","-8866317.33"
"1.1.1.3.03.1.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - IRRF","IRRF - Trabalho","566205000","113777661.36"
"1.1.1.3.03.4.1.00","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte - IRRF","Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal","0","79140010.3"
"1.1.1.8.01.2.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","IPVA ","178285000","58721380.07"
"1.1.1.8.01.2.1.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","IPVA ","178285000","58720475.05"
"1.1.1.8.01.2.3.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Dívida Ativa de IPVA - Principal","7098000","4755196.81"
"1.1.1.8.01.2.5.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Multas de IPVA ","298000","0"
"1.1.1.8.01.2.5.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Multas de IPVA ","298000","0"
"1.1.1.8.01.2.6.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Juros de Mora de IPVA ","308000","0"
"1.1.1.8.01.2.6.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Juros de Mora de IPVA ","308000","0"
"1.1.1.8.01.2.7.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Multas da Dívida Ativa de IPVA ","917000","841860.78"
"1.1.1.8.01.2.8.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Juros de Mora da Dívida Ativa de IPVA ","2074000","1312151.75"
"1.1.1.8.01.3.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","ITCD","15607000","5391322.88"
"1.1.1.8.01.3.3.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Dívida Ativa de ITCD","261000","171053.01"
"1.1.1.8.01.3.5.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Multas de Mora - Impostos sobre Transmissão Causa Mortis e Doações","25000","0"
"1.1.1.8.01.3.6.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Juros de Mora - Impostos sobre Transmissão de Causa Mortis e Doações","28000","0"
"1.1.1.8.01.3.7.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Multas da Dívida Ativa de ITCD","28000","34672.39"
"1.1.1.8.01.3.8.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","Juros de Mora da Dívida Ativa de ITCD","66000","41837.02"
"1.1.1.8.02.1.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","4340782999","1399009082.25"
"1.1.1.8.02.1.1.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","1446928000","466336360.6"
"1.1.1.8.02.1.3.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Dívida Ativa de ICMS ","21665000","1894699.98"
"1.1.1.8.02.1.5.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Multas de ICMS ","7653000","0"
"1.1.1.8.02.1.5.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Multas de ICMS ","2551000","0"
