"Código","Categoria","Origem","Espécie","Rúbrica","Alínea","Detalhamento","Receita Prevista (Bruta)","Receita Arrecadada (Bruta)"
"1.1.1.8.01.2.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","IPVA ","0","-17771360.8"
"1.1.1.8.01.2.1.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","IPVA ","0","-88884544.64"
"1.1.1.8.01.3.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre o Patrimônio para Estados/DF/Municípios","ITCD","0","-1920770.98"
"1.1.1.8.02.1.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","0","-403880619.65"
"1.1.1.8.02.1.1.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","0","-628891992.97"
"1.1.1.8.02.1.3.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Dívida Ativa de ICMS ","0","-884380.09"
"1.1.1.8.02.1.7.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Multas da Dívida Ativa de ICMS ","0","-53240.09"
"1.1.1.8.02.1.8.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos - Específicos de Estados/DF e Municípios","Impostos sobre a Produção, circulação de Mercadorias e Serviços","Juros de Mora da Dívida Ativa de ICMS ","0","-192760.68"
"1.1.2.8.01.9.1.14","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas - Específicas de Estados, DF e Municípios","Taxas de Inspeção, Controle e Fiscalização","Taxa de Registro de Veículo e Habilitação","0","-19678.37"
"1.3.2.1.00.4.1.03","Deduções da Receita","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Juros e Correções Monetárias","Remuneração dos Investimentos em Fundos Imobiliários","0","-27894.34"
"1.3.2.1.00.4.1.04","Deduções da Receita","Receita Patrimonial","Valores Mobiliários","Juros e Correções Monetárias","Juros e Correções Monetárias","Remuneração dos Investimentos em Renda Fixa - Fundo Financeiro","0","-1129087.25"
"1.7.1.8.01.1.1.01","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Participação na Receita da União","Cota-Parte do FPE","0","-443438248.62"
"1.7.1.8.01.6.1.01","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Participação na Receita da União","Cota-Parte do IPI","0","-396258.5"
"1.7.1.8.01.6.1.02","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Participação na Receita da União","Cota-Parte do IPI ","0","-706424.22"
"1.7.1.8.01.7.1.02","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Participação na Receita da União","Cota-Parte CIDE ","0","-771423.25"
"1.7.1.8.02.3.1.02","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências da União - Específicas de Estados, DF e Munícipios","Transferência da Compensação Financeira pela Exploração de Recursos Naturais","Cota-parte Royalties - Comp. Fin. pela Produção de Petróleo - Lei 7.990/99 ","0","-12894553.83"
"1.9.1.0.01.1.1.01","Deduções da Receita","Outras Receitas Correntes","Multas Administrativas, Contratuais e Judiciais","Multas Administrativas, Contratuais e Judiciais","Multas Previstas em Legislação Específica","Multas por Infração a Legislação de Trânsito","0","-2118.44"
"1.1.1.3.03.1.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Renda e Proventos de Qualquer Natureza","Imposto sobre a Renda - Retido na Fonte","IRRF - Trabalho","613030000","310983951.75"
