"Código","Categoria","Origem","Espécie","Rúbrica","Alínea","Detalhamento","Receita Prevista (Bruta)","Receita Arrecadada (Bruta)"
"1.1.1.2.51.0.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","0","-3241452.42"
"1.1.1.2.51.0.1.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","0","-16190586.64"
"1.1.1.2.52.0.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","""Imposto sobre Transmissão """"Causa Mortis"""" e Doação de Bens e Direitos - ITCD""","ITCD","0","-518681.53"
"1.1.1.4.50.1.1.01","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Produção, Circulação e Serviços","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","0","-113977837.23"
"1.1.1.4.50.1.1.02","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre a Produção, Circulação e Serviços","Impostos sobre a Produção, circulação de Mercadorias e Serviços","ICMS ","0","-189961417.81"
"1.1.2.1.01.0.1.14","Deduções da Receita","Impostos, Taxas e Contribuições de Melhoria","Taxas","Taxas pelo Exercício do Poder de Polícia","Taxas de Inspeção, Controle e Fiscalização","Taxa de Registro de Veículo e Habilitação","0","-1895.25"
"1.7.1.1.50.0.1.01","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências Decorrentes de Participação na Receita da União","Cota-Parte do Fundo de Participação dos Estados e do Distrito Federal - FPE","Cota-Parte do FPE","0","-141003419.72"
"1.7.1.1.53.0.1.01","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências Decorrentes de Participação na Receita da União","Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos I","Cota-Parte do IPI","0","-416158.21"
"1.7.1.1.53.0.1.02","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências Decorrentes de Participação na Receita da União","Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos I","Cota-Parte do IPI ","0","-693596.99"
"1.7.1.1.54.0.1.02","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências Decorrentes de Participação na Receita da União","Cota-Parte da Contribuição de Intervenção no Domínio Econômico","Cota-Parte CIDE ","0","-1000174.39"
"1.7.1.2.52.1.1.02","Deduções da Receita","Transferências Correntes","Transferências da União e de suas Entidades","Transferências das Compensações Financeiras pela Exploração de Recursos Naturais","Cota-parte da Compensação Financeira pela Produção de Petróleo","Cota-parte da Compensação Financeira pela Produção de Petróleo ¿ Lei nº 7.990/90 - Municip","0","-3473406.28"
"1.9.1.1.01.0.1.01","Deduções da Receita","Outras Receitas Correntes","Multas Administrativas, Contratuais e Judiciais","Multas Administrativas, Contratuais e Judiciais","Multas Previstas em Legislação Específica","Multas por Infração a Legislação de Trânsito","0","-276.27"
"7.2.1.5.02.1.1.01","Deduções da Receita","Contribuições","Contribuições Sociais","Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social","Contribuição Patronal - Servidor Civil","CPSSS - Patronal- Poder Executivo - Ativo Civil","0","-2715000"
"1.1.1.2.51.0.1.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","342132000","16190624.1"
"1.1.1.2.51.0.1.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","342132000","16190586.64"
"1.1.1.2.51.0.3.01","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","21258000","1819021.47"
"1.1.1.2.51.0.3.02","Receitas Correntes","Impostos, Taxas e Contribuições de Melhoria","Impostos","Impostos sobre o Patrimônio","Imposto sobre a Propriedade de Veículos Automotores","IPVA ","21258000","0"
